email,status,evidence
3pl@tamergroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
a.alshammari@sasref.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
aali@saccompany.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
aasali@sal.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
abdulla.shaaban@bureauveritas.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
abdulrahman.alrubaysh@abwaab.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
abeer.baabbad@chalhoub.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
admin@aamcosa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
ahcjobs@al-hoty.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
ahmed@ghazioverseas.sa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
akelco@akel.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
applyassistance@danaher.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
arabiatalent@savola.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
aramco-jobs@aramcoasia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
are@alrabiah.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
ask@riyadhpharma.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
bader.alghamdi@othaimmarkets.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
bandaraldheek@anan.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
bassam@sgeme.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
bdm@ditrc.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
care@jarir.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
care@naqel.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career.dmm@sghgroup.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career.saudiarabia@kaefer.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@almanahospital.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@houseofmeasurement.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@ladun.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@mouwasat.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@norfex.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@orangepharmacy.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@sidco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@trukker.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
career@yub.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers.im@pg.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers.ksa@akzonobel.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers.ksa@gandour.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@aathar.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@alhudaifhr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@aljasser-group.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@almuaina.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@almurjanhospital.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@araamis.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@arabiancementcompany.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@aramco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@chedihegra.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@clariant-tamimi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@dallah-hospital.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@globaledventures.co.uk,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@hodaithy.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@jarir.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@jash.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@kfshrc.edu.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@maaden.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@maffire.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@modern-electronics.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@najdroads.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@nesr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@parsons.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@qaiwangroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@safari.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@sayeghwater.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@slf-sa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@tgps.pk,VERIFIED_DELIVERED,in Gmail Sent + no bounce
careers@v3international.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
central@binomairah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
chrisresto@blueprinttalent.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
clientmiddleeast@michaelpage.ae,VERIFIED_DELIVERED,in Gmail Sent + no bounce
corporate@alrashed.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
crm3@saco-ksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
crm@saco-ksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
cs@bindawood.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
customer.service@saudipaper.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
customercare@panda.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
