Company,Industry,City (KSA),Email,Source URL,Confidence,MX
Flip,Digital Marketing Agency,Riyadh,bayan@flip.sa,https://t.me/s/Alkastabanf,high,OK
Gobussma (Basma RE Mgmt),Real Estate Management,Riyadh,Jobs@gobussma.com,https://t.me/s/Alkastabanf,high,OK
PVH (PV Hardware),Hardware & Solar,Jeddah,Ksa.job@pvhardware.com,https://t.me/s/Alkastabanf,high,OK
Danway EME,Electro-Mechanical Contracting,Jeddah,HRD-KSA@DANWAYEME.COM,https://t.me/s/Alkastabanf,high,OK
Luxury Management,Real Estate,KSA,modhi@luxury-management.sa,https://t.me/s/Alkastabanf,high,OK
Roya,Real Estate Development,Riyadh,Hr@roya.com.sa,https://t.me/s/Alkastabanf,high,OK
Azhar Company,Contracting (MEP),Jeddah,HR@azharhco.com,https://t.me/s/almusaedsa,high,OK
Amlak Taibah,Real Estate,Madinah,hr@amlaktaibah.sa,https://t.me/s/almusaed_med,high,OK
Sevens,Digital Marketing,Madinah,Jobs@sevens.sa,https://t.me/s/almusaedsa,high,OK
Yanbu Steel,Steel Manufacturing,Yanbu,Wijdan.AlGhamdi@yanbusteel.sa,https://t.me/s/almusaed_med,high,OK
Nestle Waters Saudi,FMCG Beverages,Riyadh,Career@sa.nestle.com,https://t.me/s/almusaedsa,high,OK
Protocol,Business Services,KSA,Auc.hr@protocol.sa,https://t.me/s/fu1sa,high,OK
Travel Gate,Travel & Tourism,KSA,Hr@travelgate.com.sa,https://t.me/s/fu1sa,high,OK
Merkai,Business Services,KSA,hiring@merkai.sa,https://t.me/s/fu1sa,high,OK
Liteway Lighting,Lighting Manufacturing,Al Kharj,hr01@liteway-lighting.com,https://t.me/s/almusaedsa,high,OK
EU (Engineering Unit),Industrial Sales & Engineering,Eastern Province,Hr@eu.com.sa,https://t.me/s/almusaedsa,high,OK
C-BLOC,Construction & Contracting,Dammam,Hiring@c-bloc.co,https://t.me/s/almusaedsa,high,OK
Raya Financing,Vehicle Financing,Dammam,hiring@rayafinancing.com,https://t.me/s/almusaedsa,high,OK
Target Engineering KSA,Engineering (O&G Projects),Al Khafji,Hrd.ksa@target.ae,https://t.me/s/almusaedsa,high,OK
Mohit Al Ahram,Food Packaging,Riyadh,hr@mohitalahram.com.sa,https://t.me/s/psjobs,high,OK
Iman Group,HVAC & Maintenance,Riyadh,Jobs@iman-group.com,https://t.me/s/Alkastabanf,high,OK
