recipient_email,company,role,city,client_id,evidence_type,public_job_url
career-ksa@groupeseb.com,Groupeseb,Promoter Position,,1,,
info@redcaviation.com,Redcaviation,Industrial Engineering / Operations Role,,3,verified_contact,
info@ssc-hr.com,Ssc Hr,Logistics & Supply Chain Manager (Jeddah),,3,verified_contact,
info@jasarapmc.com,Jasarapmc,Logistics / Supply Chain Application,,1,,
info@tascoutsourcing.com,Tascoutsourcing,Supply Coordinator / Supply Chain (Riyadh),,3,verified_contact,
accessteams22@gmail.com,,Logistics Position at Gmail,,1,,
alroshaninternational2026@gmail.com,,Logistics and Operations Position,,1,,
automotive05.slg@gmail.com,,Expressed Interest in Logistics Position at Gmail,,1,,
arvind2gcc@gmail.com,,Operations Role at Gmail,,1,,
info@nabatat.com.sa,Nabatat,Operations / Procurement Engineer,,1,,
info@saudireadymix.com.sa,Saudireadymix,Industrial Engineer / Operations & Logistics,,3,verified_contact,
info@maadaniyah.com,Maadaniyah,Industrial Engineer / Operations,,3,verified_contact,
info@saudicable.com,Saudicable,Industrial / Production Engineer,,1,,
info@petromin.com,Petromin,Supply Chain / Operations Engineer,,1,,
info@jamjoompharma.com,Jamjoompharma,Supply Chain / Production Engineer,,1,,
info@tabukpharmaceuticals.com,Tabukpharmaceuticals,Industrial Engineer / Operations,,1,,
info@nupco.com,Nupco,Logistics and Operations Position at NUPCO (Saudi Arabia),,2,verified_contact,
info@riyadhairports.com,Riyadhairports,Logistics/Operations Position,,2,verified_contact,
info@thiqah.sa,Thiqah,Logistics Position at Thiqah Business Services,,1,,
support@nana.sa,Nana,Logistics Position in Saudi Arabia,,1,,
info@spimaco.sa,Spimaco,Logistics and Operations Position at SPIMACO Addwaeih,,2,verified_contact,
info@nesmapartners.com,Nesmapartners,Logistics/Operations Position at Nesma & Partners,,2,verified_contact,
info@sipco.com.sa,Sipco,Logistics/Operations Role at SIPCO (Saudi Arabia),,2,verified_contact,
info@najrancement.com,Najrancement,Industrial Engineering Graduate - Application (Industrial Engineer / Production & Process),,1,,
info@yasref.com,Yasref,Industrial Engineering Graduate - Application (Industrial / Process Engineer),,1,,
info@saned.com.sa,Saned,Industrial Engineering Graduate - Application (Industrial / Operations Engineer),,1,,
info@wood.com,Wood,Industrial Engineering Graduate - Application (Graduate Industrial / Process Engineer),,1,,
info@saudiceramics.com,Saudiceramics,Industrial Engineer / Operations,,1,,
info@mep.co,Mep,Industrial Engineer / Operations,,1,,
info@metito.com,Metito,Industrial Engineer / Operations,,1,,
info@sirc.sa,Sirc,Industrial Engineer / Operations,,1,,
info@zahid.com,Zahid,Industrial Engineer / Operations,,1,,
info@hirejubail.com,Hirejubail,Industrial Engineer (Process Optimization),,1,,
hradmin@gulftekarabia.com,Gulftekarabia,RE: Application – Estimation / Industrial Engineer (Dammam),,1,,
apply.company40@gmail.com,,Industrial Engineer (all nationalities),,1,,
sp.enviroment@hotmail.com,,Industrial Engineer (West Region),,1,,
jobs@coffeebeansksa.com,Coffeebeansksa,Job Application – Operations Coordinator – Riyadh,,1,,
