#,channel,post_id,role,email,snippet
1,logscp,logscp/2262,أخصائي سلاسل,recrutingit2@gmail.com,> وظائف المشتريات و اللوجستيات 📢 فرصة 🔵 تمهير ⬅️ أخصائي سلاسل الإمداد ⚫ الرياض المتطلبات: • بكالوريوس في سلاسل الإمداد أو إدارة الأعمال أو اللوجستيات أو تخصص ذو صلة • مهارات تواصل وتنسيق جيدة • إجادة استخدام برامج Microsoft Office ـ مؤهل لب
2,logscp,logscp/2263,مرحّل حاويات (Dispatcher) ⚫ جدة،,job123@sigmaksa.com,> وظائف المشتريات و اللوجستيات نبحث عن موظف ⬅️ مرحّل حاويات (Dispatcher) ⚫ جدة، الخمره للانضمام إلى فريق العمليات لدينا. المتطلبات: دبلوم أو بكالوريوس. إجادة اللغة الإنجليزية (تحدثًا وكتابةً). إجادة استخدام برامج Microsoft Office. مهارات جي
3,logscp,logscp/2264,> وظائف المشتريات و اللوجستيات Job opportunity ➡️ Purchasing,hr.cv37@gmail.com,> وظائف المشتريات و اللوجستيات Job opportunity ➡️ Purchasing Officer ⚫ Dammam Requirements * (Intermediate experience in purchasing) * Strong negotiation and organizational skills * Ability to deal with suppliers * Experience with SABER cer
4,logscp,logscp/2271,أمين مستودع ⚫,recruitment@technogroupme.com,> وظائف المشتريات و اللوجستيات وظيفة شاغرة ⬅️ أمين مستودع ⚫ الدمام – المنطقة الصناعية • بكالوريوس أو دبلوم في الإنتاج الكيميائي. • خبرة لا تتجاوز سنة واحدة. • إجادة ممتازة للغة الإنجليزية. • مهارة استخدام الحاسب الآلي وبرامج Microsoft Offic
5,logscp,logscp/2274,أخصائي مشتريات ⚫,job@bluetoktok.com,> وظائف المشتريات و اللوجستيات تعلن موفمنت التابعة لشركة الطموح العالية المحدودة عن توفر شاغر وظيفي ⬅️ أخصائي مشتريات ⚫ الرياض – حي السلي. المتطلبات خبرة لا تقل عن سنه في مجال المشتريات، ويفضل في قطاع الأغذية. إجادة استخدام Excel وبرامج الح
6,logscp,logscp/2275,أمين مستودع,saudijobs@almeer-saudi.com,> وظائف المشتريات و اللوجستيات 📢 فرصة وظيفية 🔴 للسعوديين ☑️ للعمل ضمن مشاريع أرامكو. ⚫ المنطقة الشرقية - الجبيل - الخرسانية 📅 نظام العمل: 6 أيام عمل ويوم راحة ✅ راتب مجزي وبيئة عمل احترافية . ⬅️ أمين مستودع • خبرة في إدارة المستودعات وتنظيم
7,logscp,logscp/2276,مسؤول مواد,saudijobs@almeer-saudi.com,> وظائف المشتريات و اللوجستيات Forwarded from تثقيف وتوظيف - وظائف 📢 فرصة وظيفية تعلن شركة المير للخدمات الفنية عن توفر وظائف شاغرة للسعوديين للعمل ضمن مشاريع أرامكو. ⚫ المنطقة الشرقية - الجبيل - الخرسانية 📅 نظام العمل: 6 أيام عمل ويوم راحة
8,logscp,logscp/2277,مشرف لوجستيات 🔴 سعودي درجة,hr@binshihonco.com,> وظائف المشتريات و اللوجستيات إعلان وظيفي ⚫ الرياض ⬅️ مشرف لوجستيات 🔴 سعودي درجة البكالوريوس في إدارة اللوجستيات، إدارة الأعمال، أو أي تخصص ذي صلة. خبرة لا تقل عن 3 سنوات في مجال اللوجستيات أو الإشراف على العمليات اللوجستية. معرفة جيدة بإد
9,MEP_JOBS,MEP_JOBS/830,> وظائف هندسية - القناة 🇸🇦 تعلن شركة المسار الحديث للمقاولات,apply.company40@gmail.com,> وظائف هندسية - القناة 🇸🇦 تعلن شركة المسار الحديث للمقاولات عن حاجتها للوظائف الآتية من جميع الجنسيات : مهندسين مدني تنفيذ بنية تحتية مياه وصرف صحي مهندسين مدني تنفيذ انشاءات مهندسين كهرباء موقع مهندسين ميكانيكا موقع الكل الخبرة لا تقل عن 
10,MEP_JOBS,MEP_JOBS/837,> وظائف هندسية - القناة 🇸🇦 السلام عليكم إلي يعرف سعودي متخرج,alshymaa.nasser.bajabaa@ccssaudi.com,"> وظائف هندسية - القناة 🇸🇦 السلام عليكم إلي يعرف سعودي متخرج *دبلوم هندسة كهرباء* ماعنده خبرة سابقة وحاب يتوظف يرسل الcv عالايميل محتاجين توظيف مباشر مكان العمل / جدة alshymaa.nasser.bajabaa@ccssaudi.com 9.31K views 13:53 <img src=""https://"
11,MEP_JOBS,MEP_JOBS/841,> وظائف هندسية - القناة 🇸🇦 إعلان توظيف – شركة استشارات هندسي,nata_sa2030@outlook.com,> وظائف هندسية - القناة 🇸🇦 إعلان توظيف – شركة استشارات هندسية مطلوب مهندس مكافحة حريق Fire Fighting Engineer 📍 الموقع: جدة 🎓 المؤهل العلمي: بكالوريوس هندسة، ويشترط أن يكون التخصص هندسة مكافحة الحريق (Fire Fighting Engineering) 🛠 المتطلبات: 
12,MEP_JOBS,MEP_JOBS/848,> وظائف هندسية - القناة 🇸🇦 شركة هندسية كبرى تعلن عن توفر وظا,sp.enviroment@hotmail.com,> وظائف هندسية - القناة 🇸🇦 شركة هندسية كبرى تعلن عن توفر وظائف للعمل بإحدى مشاريعها الكبرى في المنطقة الغربية المسمى الوظيفي: 1- مهندسة جودة خبرة 5 سنوات 2- مسؤول حشود 3- مسؤول تجربة العملاء 4- فني كهرباء يمكنك التقديم على الوظيفة عبر إرسال
