recipient_email,sent_at,sender_used,source_event
alhanoo@anet.net.sa,2026-07-24T13:01:16.394+03:00,jobapplier@agentmail.to,error
amr.anwer@arabtecsaudi.com,2026-07-24T10:10:35.558+03:00,jobapplier@agentmail.to,requests
candidatesmiddleeast@michaelpage.ae,2026-07-25T00:14:57.892+03:00,jobapplier@agentmail.to,error
career@le-mass.com,2026-07-25T19:14:09.239+03:00,jobapplier@agentmail.to,requests
career@nartel-ksa.com,2026-07-25T19:14:58.126+03:00,jobapplier@agentmail.to,requests
career@sidco.com.sa,2026-07-24T12:33:17.950+03:00,jobapplier@agentmail.to,requests
career@technicalunited.com,2026-07-25T19:09:00.749+03:00,jobapplier@agentmail.to,requests
careers.ksa@akzonobel.com,2026-07-25T19:05:40.279+03:00,jobapplier@agentmail.to,error
careers@abdulla-fouad.com,2026-07-25T19:03:58.778+03:00,jobapplier@agentmail.to,requests
careers@almarai.com,2026-07-25T19:01:18.051+03:00,jobapplier@agentmail.to,error
careers@ammico.biz,2026-07-24T13:11:23.031+03:00,jobapplier@agentmail.to,error
careers@arccksa.com,2026-07-24T13:08:20.742+03:00,jobapplier@agentmail.to,error
careers@bnjamaan.com,2026-07-25T19:09:50.430+03:00,jobapplier@agentmail.to,requests
careers@diyar.com,2026-07-24T10:04:13.290+03:00,jobapplier@agentmail.to,error
careers@hoshan.com,2026-07-25T19:06:31.801+03:00,jobapplier@agentmail.to,requests
careers@kingdom.com.sa,2026-07-25T19:08:10.397+03:00,jobapplier@agentmail.to,requests
careers@nesmapartners.com,2026-07-24T10:06:05.744+03:00,jobapplier@agentmail.to,requests
careers@nesr.com,2026-07-24T12:30:34.973+03:00,jobapplier@agentmail.to,error
careers@sappco.com.sa,2026-07-25T19:02:11.925+03:00,jobapplier@agentmail.to,requests
careers@selatestco.example,2026-07-26T09:01:02.125+03:00,jobapplier@agentmail.to,error
catcosa@catcosa.com,2026-07-24T10:26:35.373+03:00,jobapplier@agentmail.to,error
contactus@fsrsearch.com,2026-07-26T05:01:21.000+03:00,hasanadam506@11726105.brevosend.com,softBounces
cv@arabianfal.com,2026-07-24T12:29:42.894+03:00,jobapplier@agentmail.to,requests
dave.acuna@yc.com.sa,2026-07-24T13:07:25.067+03:00,jobapplier@agentmail.to,error
email@acec-sa.com,2026-07-24T10:09:41.989+03:00,jobapplier@agentmail.to,requests
eman.almutairi@daralriyadh.com,2026-07-24T10:17:53.579+03:00,jobapplier@agentmail.to,error
fnrco.hotline@fnrco.com.sa,2026-07-25T00:12:04.579+03:00,jobapplier@agentmail.to,requests
graphics@alfanar.com,2026-07-24T10:29:14.891+03:00,jobapplier@agentmail.to,error
headoffice@abuljadayel.com,2026-07-24T13:09:19.828+03:00,jobapplier@agentmail.to,error
hr1@gulftekksaudi.com,2026-07-24T12:32:18.372+03:00,jobapplier@agentmail.to,requests
hr@dargroup.com,2026-07-25T19:10:42.649+03:00,jobapplier@agentmail.to,requests
hr@eied.com,2026-07-25T19:15:43.875+03:00,jobapplier@agentmail.to,requests
hr@hakengineering.org,2026-07-24T09:44:13.774+03:00,jobapplier@agentmail.to,requests
hr@mets.com.sa,2026-07-25T19:04:49.349+03:00,jobapplier@agentmail.to,error
hr@pecuae.ae,2026-07-24T10:07:54.471+03:00,jobapplier@agentmail.to,error
hrdepartmental@sa.yokogawa.com,2026-07-24T10:23:08.705+03:00,jobapplier@agentmail.to,error
hrsupport@archirodon.net,2026-07-24T10:24:50.631+03:00,jobapplier@agentmail.to,error
ilf.ksa@ilf.com,2026-07-24T09:31:37.579+03:00,jobapplier@agentmail.to,error
