email,role_category,region,source,status,sample_subject
3pl@tamergroup.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Logistics & Supply Chain Engineer - Hassan Ada
a.alshammari@sasref.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Sasref
aali@saccompany.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Saccompany
aasali@sal.sa,Recruiting/TA,Saudi/GCC,verified-Sent-delivered,DELIVERED,Cut SAL's time-to-hire by 80% — automated recruitment postin
abdulla.shaaban@bureauveritas.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Role at Bureauverit
abeer.baabbad@chalhoub.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Automate Chalhoub Group Jeddah recruitment pipeline
ahcjobs@al-hoty.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations and Supply Chain Position at Al-H
ahmed@ghazioverseas.sa.com,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Ghazioversea
akelco@akel.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineering Position at Akel
al.alshaikh@bonyan.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Bonyan
api-service@deepseek.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Billing activation issue - $2 payment received but credits n
apmms@atco.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Atco
apply@gemseducation.com,Education,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — GEMS Education (Apply) — Hassan Ad
applyassistance@danaher.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,"Application — Shipping Coordinator (Analyst I), Riyadh  — Ha"
arabiatalent@savola.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Talent acquisition support — automated posting and AI CV scr
aramco-jobs@aramcoasia.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics/Supply Chain Position at Aramcoasi
are@alrabiah.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations Position at Alrabiah
ask@riyadhpharma.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
bandaraldheek@anan.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position
bdm@ditrc.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations Role at Ditrc
care@jarir.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
care@naqel.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics Position at Naqel Express
career.dmm@sghgroup.net,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations Role at Sghgroup
career.saudiarabia@kaefer.com,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Kaefer
career@almanahospital.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application - Operations / Supply Chain | Hassan Adam, Indus"
career@hyundai.mynaghi.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application — Materials Manager (Hyundai KAEC) — Hassan Adam
career@mouwasat.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
career@mrbme.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
career@shawarmer.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Operations (Shawarmer) — Hassan
career@sidco.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (SIDCO) — Hassan Ada
career@trukker.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Logistics / Business Development, Jeddah (Indu"
careers.im@pg.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
careers.ksa@akzonobel.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at AkzoNobel
careers@aathar.sa,Recruiting/TA,Saudi/GCC,verified-Sent-delivered,DELIVERED,Cut your time-to-hire — recruitment automation for Aathar Ho
